GrPetYear,pe,shr,rvn,opInm,eps,tAssts,tEqu,bvps,ROtA,5meanROtA,cur,old
INPP.JK,43.07,20.42,9.17,6.24,2.73,18.69,26.5,22.01,0.77,2.63,IDR,2013
INPP.L,16.51,11.51,-7.76,-2.41,5.73,-3.18,19.08,17.11,0.0,5.68,GBP,2012
INPS.JK,-1.18,0.0,-7.73,0.0,0.0,0.35,-11.93,-11.93,-24.25,-5.35,IDR,2014
INPST.AS,43.44,0.0,71.03,0.0,0.0,54.52,4.61,4.61,7.33,5.61,PLN,2017
INP.WA,4.88,-100.0,8.04,18.34,-100.0,9.83,9.33,9.33,7.36,7.09,PLN,2013
INPX,-0.03,-100.0,-10.09,30.86,-79.26,4.47,17.1,17.1,-197.33,-317.4,USD,2013
INPXV,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-225.08,-225.08,USD,2022
INQD,-2.39,97.84,-100.0,37.9,-29.44,15.36,9.41,4.75,-579.78,-297706.65,USD,2013
INQ.TO,-0.05,-0.06,-7.06,6.19,-3.45,-1.61,-13.17,-13.17,-1.53,-8.34,CAD,2013
INR.AX,0.0,32.62,-100.0,34.03,-9.27,47.04,46.48,35.04,-2.83,-1.45,AUD,2013
INRD,177.33,2.32,-0.61,0.0,-42.25,-0.88,-4.14,-4.04,-0.15,7.08,USD,2013
INR.DE,21.32,11.88,2.44,10.13,3.47,7.34,-7.09,-6.34,1.21,4.12,EUR,2013
INRE,-7.53,20.28,27.66,0.0,-4.28,-0.02,-5.91,-4.91,-1.02,-1.47,USD,2014
INRN.SW,26.46,-0.13,8.6,16.22,16.83,8.67,8.63,8.64,15.94,14.18,CHF,2013
INS,39.62,-0.06,12.64,38.69,0.0,21.69,21.44,21.45,0.0,20.38,USD,2012
INSA,0.0,-18.18,88.73,0.0,16.83,24.28,13.69,16.73,0.0,-1.65,USD,2007
INSD,0.0,-100.0,-100.0,107.19,-100.0,-100.0,0.0,0.0,0.0,-17270.46,USD,2017
INS.DE,6.04,2.37,-100.0,-100.0,-100.0,20.78,43.49,42.48,2.29,2.58,EUR,2014
INSE,17.86,39.76,-100.0,-100.0,-100.0,21.04,0.0,0.0,12.05,-14.06,USD,2014
INSECTICID.NS,21.13,0.4,8.5,2.91,4.81,8.84,15.73,15.67,7.36,7.65,INR,2014
INSE.L,-274.14,10.45,31.37,0.0,0.0,40.95,50.3,45.54,-6.34,7.16,GBP,2013
